Car brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car old
M,2014,13.017002861746503,11.887931365593685,0,Individual,1,1,23.4,7.129297548929373,74.0,5.0,11
S,2014,12.821258284620408,11.695247021764184,0,Individual,1,2,21.14,7.311886164077165,103.52,5.0,11
H,2006,11.970350312009105,11.84939770159144,1,Individual,1,3,17.7,7.311218384419629,78.0,5.0,19
H,2010,12.323855681186558,11.751942365440728,0,Individual,1,1,23.0,7.241366283322318,90.0,5.0,15
M,2007,11.77528972943772,11.695247021764184,1,Individual,1,1,16.1,7.168579897264035,88.2,5.0,18
H,2017,12.994530005894443,10.714417768752456,1,Individual,1,1,20.14,7.087573705557973,81.86,5.0,8
M,2001,10.714417768752456,8.517193191416238,1,Individual,1,2,16.1,6.679599185844383,37.0,4.0,24
T,2011,12.765688433465597,11.407564949312402,0,Individual,1,1,23.59,7.218176838403408,67.1,5.0,14
F,2013,12.206072645530174,12.037653993905211,0,Individual,1,1,20.0,7.243512974665482,68.1,5.0,12
R,2014,13.122363377404328,11.127262984158243,0,Individual,1,2,19.01,7.2868764117507,108.45,5.0,11
M,2005,11.429543856031177,11.512925464970229,1,Individual,1,2,17.3,6.900730664045173,60.0,5.0,20
M,2009,12.542544882151386,11.84939770159144,0,Individual,1,2,19.3,7.129297548929373,73.9,5.0,16
M,2007,12.206072645530174,11.289781913656018,1,Individual,1,2,,,,,18
M,2009,12.100712129872347,11.407564949312402,1,Individual,1,2,18.9,6.966967138613983,67.0,5.0,16
M,2016,12.89921982609012,10.596634733096073,1,Individual,1,1,18.15,7.088408778675395,82.0,5.0,9
M,2016,13.564481803160529,11.156250521031495,0,Individual,1,2,24.52,7.129297548929373,88.5,7.0,9
H,2012,13.122363377404328,10.87804719253426,0,Individual,1,2,23.0,7.241366283322318,90.0,5.0,13
M,2002,11.918390573078392,11.289781913656018,1,Individual,1,2,19.7,6.679599185844383,46.3,5.0,23
